position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_query_rows,live_typeform_urls,combined_typeform_urls,scan_mode,homepage_url,robots_status,http_status,pages_checked,live_email_candidates,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,scan_notes
103,264928,junglejims.com,no,,,0,0,,,contact_pages,https://junglejims.com/,unavailable,0,0,,,,no_public_email_found,not_flagged,,,,,,,,,SSLError
104,272513,1stcb.com,no,,,0,0,,,contact_pages,,ok,,0,,,,no_public_email_found,not_flagged,,,,,,,,,homepage disallowed by robots.txt
105,273537,fastportpassport.com,yes,https://embed.typeform.com/ ; https://govworks.typeform.com/to/rXhyuu,https://govworks.typeform.com/to/rXhyuu,0,0,,https://embed.typeform.com/ ; https://govworks.typeform.com/to/rxhyuu,contact_pages,https://fastportpassport.com/,unavailable,200,1,,,,no_public_email_found,not_flagged,,,,,,,,,
106,277506,madlibs.com,no,https://embed.typeform.com/,,0,0,https://embed.typeform.com/,https://embed.typeform.com/,contact_pages,https://madlibs.com/,ok,200,0,,,,no_public_email_found,not_flagged,,,,,,,,,
107,278714,connectamericas.com,no,,,0,0,,,contact_pages,https://connectamericas.com/,ok,403,0,,,,no_public_email_found,not_flagged,,,,,,,,,http_error
109,282097,randomhousebooks.com,no,https://embed.typeform.com/,,0,0,https://embed.typeform.com/,https://embed.typeform.com/,contact_pages,https://randomhousebooks.com/,ok,200,1,,,,no_public_email_found,not_flagged,,,,,,,,,
110,282332,sncft.com.tn,no,,,0,0,,,contact_pages,https://sncft.com.tn/,unavailable,0,0,,,,no_public_email_found,not_flagged,,,,,,,,,SSLError
122,304526,clusit.it,no,https://ojsn03a6n6h.typeform.com/,,0,0,,https://ojsn03a6n6h.typeform.com/,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
123,305065,velux.it,no,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,,0,0,,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,contact_pages,https://www.velux.it/,ok,200,0,,,,no_public_email_found,not_flagged,,,,,,,,,
137,334536,appvirality.com,yes,https://appviralityinc.typeform.com/to/WP67CV,https://appviralityinc.typeform.com/to/WP67CV,0,0,,https://appviralityinc.typeform.com/to/wp67cv,contact_pages,https://appvirality.com/,unavailable,200,0,,,,no_public_email_found,not_flagged,,,,,,,,,
140,346334,eastriding.gov.uk,yes,https://eastriding.typeform.com/to/axhlfJs0,https://eastriding.typeform.com/to/axhlfJs0,0,0,,https://eastriding.typeform.com/to/axhlfjs0,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
141,353496,trackdrive.net,no,,,0,0,,,contact_pages,https://trackdrive.com/,ok,200,0,,,,no_public_email_found,not_flagged,,,,,,,,,redirected to another registrable domain
142,367104,papermoustache.com,no,,,0,0,,,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
143,371044,profoundry.co,no,,,0,0,https://needsform.typeform.com/,https://needsform.typeform.com/,contact_pages,https://www.profoundry.co/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
145,380033,shadygrovefertility.com,yes,https://form.typeform.com/to/hk9lFN,https://form.typeform.com/to/hk9lFN,0,0,https://form.typeform.com/to/hk9lFN,https://form.typeform.com/to/hk9lfn ; https://form.typeform.com/to/hk9lFN,contact_pages,https://www.shadygrovefertility.com/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
146,381397,endotaspa.com.au,no,,,0,0,,,contact_pages,https://endotaspa.com.au/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
147,381514,iottechexpo.com,yes,https://techforge.typeform.com/to/iHSRs7lt,https://techforge.typeform.com/to/iHSRs7lt,0,0,,https://techforge.typeform.com/to/ihsrs7lt,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
149,385715,oroscopoastra.com,yes,https://mvtec0svg3z.typeform.com/to/qdTx8iYu,https://mvtec0svg3z.typeform.com/to/qdTx8iYu,0,0,,https://mvtec0svg3z.typeform.com/to/qdtx8iyu,contact_pages,https://oroscopoastra.com/,unavailable,0,0,,,,no_public_email_found,not_flagged,,,,,,,,,SSLError
152,390451,rockbot.com,no,,,0,0,,,contact_pages,https://rockbot.com/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
153,393665,covertsecurity.es,yes,https://covertsecurity.typeform.com/to/ht4czVTe ; https://form.typeform.com/to/DIpifveH ; https://form.typeform.com/to/gpsmN0g4,https://covertsecurity.typeform.com/to/ht4czVTe ; https://form.typeform.com/to/DIpifveH ; https://form.typeform.com/to/gpsmN0g4,0,0,,https://covertsecurity.typeform.com/to/ht4czvte ; https://form.typeform.com/to/dipifveh ; https://form.typeform.com/to/gpsmn0g4,contact_pages,https://covertsecurity.es/,ok,403,0,,,,no_public_email_found,not_flagged,,,,,,,,,http_error
155,400865,hashtagjeff.com,yes,https://form.typeform.com/to/dm9xfK ; https://hashtagjeff.typeform.com/to/TRPN6P,https://form.typeform.com/to/dm9xfK ; https://hashtagjeff.typeform.com/to/TRPN6P,0,0,https://embed.typeform.com/ ; https://form.typeform.com/to/dm9xfK,https://embed.typeform.com/ ; https://form.typeform.com/to/dm9xfk ; https://form.typeform.com/to/dm9xfK ; https://hashtagjeff.typeform.com/to/trpn6p,contact_pages,https://hashtagjeff.com/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
